Prompt_ID,Brand,Mention,Rank
1,Sony,1,1.0
1,Bose,1,2.0
1,Sennheiser,1,3.0
1,SoundCore,0,
1,JBL,0,
1,Nothing,0,
1,Edifier,0,
2,Sony,1,1.0
2,Bose,1,
2,Sennheiser,1,
2,SoundCore,1,
2,JBL,0,
2,Nothing,0,
2,Edifier,0,
3,Sony,1,1.0
3,Bose,1,2.0
3,Sennheiser,1,3.0
3,SoundCore,1,5.0
3,JBL,0,
3,Nothing,0,
3,Edifier,0,
4,Sony,1,1.0
4,Bose,1,2.0
4,Sennheiser,1,3.0
4,SoundCore,1,4.0
4,JBL,0,
4,Nothing,0,
4,Edifier,0,
5,Sony,1,2.0
5,Bose,1,1.0
5,Sennheiser,1,3.0
5,SoundCore,0,
5,JBL,0,
5,Nothing,0,
5,Edifier,0,
6,Sony,1,1.0
6,Bose,1,2.0
6,Sennheiser,1,3.0
6,SoundCore,0,
6,JBL,0,
6,Nothing,0,
6,Edifier,0,
7,Sony,1,1.0
7,Bose,1,
7,Sennheiser,1,
7,SoundCore,1,
7,JBL,0,
7,Nothing,0,
7,Edifier,0,
8,Sony,1,3.0
8,Bose,1,2.0
8,Sennheiser,0,
8,SoundCore,1,1.0
8,JBL,0,
8,Nothing,0,
8,Edifier,0,
9,Sony,1,1.0
9,Bose,1,2.0
9,Sennheiser,1,3.0
9,SoundCore,1,5.0
9,JBL,1,4.0
9,Nothing,1,7.0
9,Edifier,1,6.0
10,Sony,1,2.0
10,Bose,1,1.0
10,Sennheiser,1,3.0
10,SoundCore,1,6.0
10,JBL,1,5.0
10,Nothing,1,4.0
10,Edifier,1,7.0
11,Sony,1,2.0
11,Bose,1,3.0
11,Sennheiser,1,1.0
11,SoundCore,1,4.0
11,JBL,1,5.0
11,Nothing,1,7.0
11,Edifier,1,6.0
12,Sony,1,2.0
12,Bose,1,3.0
12,Sennheiser,1,1.0
12,SoundCore,1,6.0
12,JBL,1,4.0
12,Nothing,1,7.0
12,Edifier,1,5.0
13,Sony,1,2.0
13,Bose,1,2.0
13,Sennheiser,1,4.0
13,SoundCore,1,1.0
13,JBL,1,3.0
13,Nothing,1,7.0
13,Edifier,1,2.0
14,Sony,1,
14,Bose,1,
14,Sennheiser,1,
14,SoundCore,1,
14,JBL,1,
14,Nothing,1,
14,Edifier,1,
