Prompt_ID,Brand,Mention,Rank,Total_Posts,Positive_Proportion,Trust_Score,Product_Strength,Marketing_Strength
1,Sony,1,1.0,39105,0.17,4.434,4.14,0.64553685
1,Bose,1,2.0,33814,0.24,4.674,4.17,0.92886686
1,Sennheiser,1,3.0,10389,0.07,4.24,4.25,0.06033231
1,SoundCore,0,,6416,0.3,4.405,4.17,0.48841749
1,JBL,0,,12203,0.22,4.394,4.22,0.62340474
1,Nothing,0,,4408,0.09,4.15,3.62,0.36723699
1,Edifier,0,,28977,0.12,4.23,4.23,0.46449625
2,Sony,1,1.0,39105,0.17,4.434,4.14,0.64553685
2,Bose,1,,33814,0.24,4.674,4.17,0.92886686
2,Sennheiser,1,,10389,0.07,4.24,4.25,0.06033231
2,SoundCore,1,,6416,0.3,4.405,4.17,0.48841749
2,JBL,0,,12203,0.22,4.394,4.22,0.62340474
2,Nothing,0,,4408,0.09,4.15,3.62,0.36723699
2,Edifier,0,,28977,0.12,4.23,4.23,0.46449625
3,Sony,1,1.0,39105,0.17,4.434,4.14,0.64553685
3,Bose,1,2.0,33814,0.24,4.674,4.17,0.92886686
3,Sennheiser,1,3.0,10389,0.07,4.24,4.25,0.06033231
3,SoundCore,1,5.0,6416,0.3,4.405,4.17,0.48841749
3,JBL,0,,12203,0.22,4.394,4.22,0.62340474
3,Nothing,0,,4408,0.09,4.15,3.62,0.36723699
3,Edifier,0,,28977,0.12,4.23,4.23,0.46449625
4,Sony,1,1.0,39105,0.17,4.434,4.14,0.64553685
4,Bose,1,2.0,33814,0.24,4.674,4.17,0.92886686
4,Sennheiser,1,3.0,10389,0.07,4.24,4.25,0.06033231
4,SoundCore,1,4.0,6416,0.3,4.405,4.17,0.48841749
4,JBL,0,,12203,0.22,4.394,4.22,0.62340474
4,Nothing,0,,4408,0.09,4.15,3.62,0.36723699
4,Edifier,0,,28977,0.12,4.23,4.23,0.46449625
5,Sony,1,2.0,39105,0.17,4.434,4.14,0.64553685
5,Bose,1,1.0,33814,0.24,4.674,4.17,0.92886686
5,Sennheiser,1,3.0,10389,0.07,4.24,4.25,0.06033231
5,SoundCore,0,,6416,0.3,4.405,4.17,0.48841749
5,JBL,0,,12203,0.22,4.394,4.22,0.62340474
5,Nothing,0,,4408,0.09,4.15,3.62,0.36723699
5,Edifier,0,,28977,0.12,4.23,4.23,0.46449625
6,Sony,1,1.0,39105,0.17,4.434,4.14,0.64553685
6,Bose,1,2.0,33814,0.24,4.674,4.17,0.92886686
6,Sennheiser,1,3.0,10389,0.07,4.24,4.25,0.06033231
6,SoundCore,0,,6416,0.3,4.405,4.17,0.48841749
6,JBL,0,,12203,0.22,4.394,4.22,0.62340474
6,Nothing,0,,4408,0.09,4.15,3.62,0.36723699
6,Edifier,0,,28977,0.12,4.23,4.23,0.46449625
